origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
14,9,0,0,0,347402.8209
14,10,0,521693.4792,0,521693.4792
14,11,0,521693.4792,0,521693.4792
14,12,0,589489.1644,0,589489.1644
14,13,0,589489.1644,0,589489.1644
14,14,0,0,0,347402.8209
14,15,0,347402.8209,0,347402.8209
14,16,0,589489.1644,0,589489.1644
14,17,0,417673.4383,2.1691059,417675.6074
14,18,0,589489.1644,0,589489.1644
14,19,0,589489.1644,0,589489.1644
14,20,0,417673.4383,2.1691059,417675.6074
14,21,0,417673.4383,2.1691059,417675.6074
14,22,0,417673.4383,2.1691059,417675.6074
14,23,0,417673.4383,2.1691059,417675.6074
14,24,0,417673.4383,2.1691059,417675.6074
14,25,0,417673.4383,2.1691059,417675.6074
15,1,0,264356.6408,0,264356.6408
15,2,0,417673.4383,2.1691059,417675.6074
15,3,0,264356.6408,0,264356.6408
15,4,0,399151.9028,0,399151.9028
15,5,0,743917.7936,0,743917.7936
15,6,0,264356.6408,0,264356.6408
15,7,0,264356.6408,0,264356.6408
15,8,0,743917.7936,0,743917.7936
15,9,0,347402.8209,0,347402.8209
15,10,0,743917.7936,0,743917.7936
15,11,0,743917.7936,0,743917.7936
15,12,0,397795.1072,0,397795.1072
15,13,0,397795.1072,0,397795.1072
15,14,0,347402.8209,0,347402.8209
15,15,0,0,0,397795.1072
15,16,0,397795.1072,0,397795.1072
15,17,0,0,0,23350.88421
15,18,0,397795.1072,0,397795.1072
15,19,0,397795.1072,0,397795.1072
15,20,0,0,0,23350.88421
15,21,0,0,0,23350.88421
15,22,0,0,0,23350.88421
15,23,0,0,0,23350.88421
15,24,0,0,0,23350.88421
15,25,0,0,0,23350.88421
16,1,0,431305.9276,0,431305.9276
16,2,0,659759.7818,2.1691059,659761.9509
16,3,0,431305.9276,0,431305.9276
16,4,0,641238.2463,0,641238.2463
16,5,0,538752.9313,0,538752.9313
16,6,0,431305.9276,0,431305.9276
16,7,0,431305.9276,0,431305.9276
16,8,0,538752.9313,0,538752.9313
16,9,0,589489.1644,0,589489.1644
16,10,0,538752.9313,0,538752.9313
16,11,0,538752.9313,0,538752.9313
16,12,0,0,0,122312.4598
16,13,0,0,0,122312.4598
16,14,0,589489.1644,0,589489.1644
16,15,0,397795.1072,0,397795.1072
16,16,0,0,0,122312.4598
16,17,0,0,0,122312.4598
16,18,0,0,0,122312.4598
16,19,0,0,0,122312.4598
16,20,0,0,0,122312.4598
16,21,0,0,0,122312.4598
16,22,0,0,0,122312.4598
16,23,0,0,0,122312.4598
16,24,0,0,0,122312.4598
16,25,0,0,0,122312.4598
17,1,0,0,0,122312.4598
17,2,0,0,0,122312.4598
17,3,0,0,0,122312.4598
17,4,0,0,0,122312.4598
17,5,0,0,0,122312.4598
17,6,0,0,0,122312.4598
17,7,0,0,0,122312.4598
17,8,0,0,0,122312.4598
17,9,0,0,0,122312.4598
17,10,0,0,0,122312.4598
17,11,0,0,0,122312.4598
17,12,0,0,0,122312.4598
17,13,0,0,0,122312.4598
17,14,0,0,0,122312.4598
17,15,0,0,0,122312.4598
17,16,0,0,0,122312.4598
17,17,0,0,0,122312.4598
17,18,0,0,0,122312.4598
17,19,0,0,0,122312.4598
17,20,0,0,0,122312.4598
17,21,0,0,0,122312.4598
17,22,0,0,0,122312.4598
17,23,0,0,0,122312.4598
17,24,0,0,0,122312.4598
17,25,0,0,0,122312.4598
18,1,0,0,2.1691059,659761.9509
18,2,0,0,2.1691059,659761.9509
18,3,0,0,2.1691059,659761.9509
18,4,0,0,2.1691059,659761.9509
18,5,0,0,2.1691059,659761.9509
18,6,0,0,2.1691059,659761.9509
18,7,0,0,2.1691059,659761.9509
18,8,0,0,2.1691059,659761.9509
18,9,0,0,2.1691059,659761.9509
18,10,0,0,2.1691059,659761.9509
18,11,0,0,2.1691059,659761.9509
18,12,0,0,2.1691059,659761.9509
18,13,0,0,2.1691059,659761.9509
18,14,0,0,2.1691059,659761.9509
18,15,0,0,2.1691059,659761.9509
18,16,0,0,2.1691059,659761.9509
18,17,0,0,2.1691059,659761.9509
18,18,0,0,2.1691059,659761.9509
18,19,0,0,2.1691059,659761.9509
18,20,0,0,2.1691059,659761.9509
18,21,0,0,2.1691059,659761.9509
18,22,0,0,2.1691059,659761.9509
18,23,0,0,2.1691059,659761.9509
18,24,0,0,2.1691059,659761.9509
18,25,0,0,2.1691059,659761.9509
19,1,0,0,2.1691059,659761.9509
19,2,0,0,2.1691059,659761.9509
19,3,0,0,2.1691059,659761.9509
19,4,0,0,2.1691059,659761.9509
19,5,0,0,2.1691059,659761.9509
19,6,0,0,2.1691059,659761.9509
19,7,0,0,2.1691059,659761.9509
19,8,0,0,2.1691059,659761.9509
19,9,0,0,2.1691059,659761.9509
19,10,0,0,2.1691059,659761.9509
19,11,0,0,2.1691059,659761.9509
19,12,0,0,2.1691059,659761.9509
19,13,0,0,2.1691059,659761.9509
19,14,0,0,2.1691059,659761.9509
19,15,0,0,2.1691059,659761.9509
19,16,0,659759.7818,2.1691059,659761.9509
19,17,0,659759.7818,2.1691059,659761.9509
19,18,0,0,2.1691059,659761.9509
19,19,0,0,2.1691059,659761.9509
19,20,0,659759.7818,2.1691059,659761.9509
19,21,0,659759.7818,2.1691059,659761.9509
19,22,0,659759.7818,2.1691059,659761.9509
19,23,0,659759.7818,2.1691059,659761.9509
19,24,0,659759.7818,2.1691059,659761.9509
19,25,0,659759.7818,2.1691059,659761.9509
20,1,,0,,
20,2,,0,,
20,3,,0,,
20,4,,0,,
20,5,,0,,
20,6,,0,,
20,7,,0,,
20,8,,0,,
20,9,,0,,
20,10,,0,,
20,11,,0,,
20,12,,0,,
20,13,,0,,
20,14,,0,,
20,15,,0,,
20,16,,0,,
20,17,,0,,
20,18,,0,,
20,19,,0,,
20,20,,0,,
20,21,,0,,
20,22,,0,,
20,23,,0,,
20,24,,0,,
20,25,,0,,
21,1,,0,,
21,2,,0,,
21,3,,0,,
21,4,,0,,
21,5,,0,,
21,6,,0,,
21,7,,0,,
21,8,,0,,
21,9,,0,,
21,10,,0,,
21,11,,0,,
21,12,,0,,
21,13,,0,,
21,14,,0,,
21,15,,0,,
21,16,,0,,
21,17,,0,,
21,18,,0,,
21,19,,0,,
21,20,,0,,
21,21,,0,,
21,22,,0,,
21,23,,0,,
21,24,,0,,
21,25,,0,,
22,1,0,0,0,122312.4598
22,2,0,0,0,122312.4598
22,3,0,0,0,122312.4598
22,4,0,0,0,122312.4598
22,5,0,0,0,122312.4598
22,6,0,0,0,122312.4598
22,7,0,0,0,122312.4598
22,8,0,0,0,122312.4598
22,9,0,0,0,122312.4598
22,10,0,0,0,122312.4598
22,11,0,0,0,122312.4598
22,12,0,0,0,122312.4598
22,13,0,0,0,122312.4598
22,14,0,0,0,122312.4598
22,15,0,0,0,122312.4598
22,16,0,0,0,122312.4598
22,17,0,0,0,122312.4598
22,18,0,0,0,122312.4598
22,19,0,0,0,122312.4598
22,20,0,122312.4598,0,122312.4598
22,21,0,122312.4598,0,122312.4598
22,22,0,0,0,122312.4598
22,23,0,122312.4598,0,122312.4598
22,24,0,122312.4598,0,122312.4598
22,25,0,122312.4598,0,122312.4598
23,1,0,122312.4598,0,122312.4598
23,2,0,122312.4598,0,122312.4598
23,3,0,122312.4598,0,122312.4598
23,4,0,122312.4598,0,122312.4598
23,5,0,122312.4598,0,122312.4598
23,6,0,122312.4598,0,122312.4598
23,7,0,122312.4598,0,122312.4598
23,8,0,98961.57557,0,98961.57557
23,9,0,98961.57557,0,98961.57557
23,10,0,122312.4598,0,122312.4598
23,11,0,98961.57557,0,98961.57557
23,12,0,98961.57557,0,98961.57557
23,13,0,98961.57557,0,98961.57557
23,14,0,98961.57557,0,98961.57557
23,15,0,98961.57557,0,98961.57557
23,16,,0,,
23,17,,0,,
23,18,,0,,
23,19,,0,,
23,20,,0,,
23,21,,0,,
23,22,,0,,
23,23,,0,,
23,24,,0,,
23,25,,0,,
24,1,,0,,
24,2,,0,,
24,3,,0,,
24,4,,0,,
24,5,,0,,
24,6,,0,,
24,7,,0,,
24,8,,0,,
24,9,,0,,
24,10,,0,,
24,11,,0,,
24,12,,0,,
24,13,,0,,
24,14,,0,,
24,15,,0,,
24,16,,0,,
24,17,,0,,
24,18,,0,,
24,19,,0,,
24,20,,0,,
24,21,,0,,
24,22,,0,,
24,23,,0,,
24,24,,0,,
24,25,,0,,
25,1,,0,,
25,2,,0,,
25,3,,0,,
25,4,,0,,
25,5,,0,,
25,6,,0,,
25,7,,0,,
25,8,,0,,
25,9,,0,,
25,10,,0,,
25,11,,0,,
25,12,,0,,
25,13,,0,,
25,14,,0,,
25,15,,0,,
25,16,,0,,
25,17,,0,,
25,18,,0,,
25,19,,0,,
25,20,,0,,
25,21,,0,,
25,22,,0,,
25,23,,0,,
25,24,,0,,
25,25,,0,,
